0	0.0288483333
0.05	0.014498
0.1	0.0823723333
0.15	0.093935
0.2	0.1741836667
0.25	0.2021966667
0.3	0.4611783333
0.35	0.406661
0.4	0.4868996667
0.45	0.5892026667
0.5	1.0921226667
0.55	0.8823986667
0.6	1.261193
0.65	1.7179206667
0.7	1.7631303333
0.75	1.4790433333
0.8	1.329783
0.85	1.5738656667
0.9	0.88842
0.95	1.015875
1	0.997564
1.05	0.4883133333
1.1	0.481138
1.15	0.4074136667
1.2	0.502148
1.25	0.2788403333
1.3	0.2615223333
1.35	0.2100323333
1.4	0.1054473333
1.45	0.05147
1.5	0.0435126667
1.55	0.015669
1.6	0.0398583333
1.65	0.0070393333
1.7	0.0077793333
1.75	0.0171393333
1.8	0.028267
1.85	0.0190333333
1.9	0.0263526667
1.95	0.011726
2	0.0240653333
2.05	0.0272076667
2.1	0.014403
2.15	0.0149273333
2.2	0.025057
2.25	0.018953
2.3	0.044167
2.35	0.008938
2.4	0.030114
2.45	0.0158863333
2.5	0.0161506667
2.55	0.015856
2.6	0.0108146667
2.65	0.018227
2.7	0.0110793333
2.75	0.0117703333
2.8	0.010437
2.85	0.0089193333
2.9	0.022203
2.95	0.0093293333
3	0.0054923333
3.05	0.0049493333
3.1	0.0054376667
3.15	0.0056636667
3.2	0.0030203333
3.25	0.006583
3.3	0.0122203333
3.35	0.0012183333
3.4	0.001561
3.45	0.0100223333
3.5	0.001688
3.55	0.0039836667
3.6	0.002441
3.65	0.001761
3.7	0.0056143333
3.75	0.0013873333
3.8	0.008831
3.85	0.0026976667
3.9	0.0008746667
3.95	0.000105
4	0.0004953333
4.05	0.0003366667
4.1	0.0009106667
4.15	0.002549
4.2	0
4.25	0.0020763333
4.3	0
4.35	0
4.4	0
4.45	0.0024313333
4.5	0.0017303333
4.55	0.0002363333
4.6	0
4.65	0.0011813333
4.7	0
4.75	0
4.8	0
4.85	0
4.9	0
4.95	0
5	0
5.05	0
5.1	0
5.15	0
5.2	0
5.25	0
5.3	0
5.35	0
5.4	0
5.45	0
5.5	0
5.55	0
5.6	0
5.65	0
5.7	0
5.75	0
5.8	0
5.85	0
5.9	0
5.95	0
