X Y e1 e2 Z WEIGHT_SEEING
-554.0836536087602 -262.65090712628034 0.017176 -0.301435 0.29644892 1.0
-568.2830682789179 -256.9524050562363 0.139695 0.470491 0.28787485 1.0
-608.7655074300447 -283.6404160852989 0.155469 0.034413 0.34104633 1.0
-661.1977952846665 -286.8737323583266 0.344123 -0.338351 0.34622866 1.0
-495.29627320591567 -228.48129948806948 -0.222977 0.091552 0.25665128 1.0
-652.0807007868107 -291.33363441526956 -0.511656 -0.151351 0.3429346 1.0
-501.51131306979937 -235.9571287717675 0.070768 -0.134187 0.25818312 1.0
-614.1640600317838 -279.34913552209906 -0.205708 0.219465 0.33708084 1.0
-639.8246825164753 -264.4113990804553 0.401124 -0.445 0.30766186 1.0
-616.566632222619 -279.673837010091 -0.725093 0.048763 0.34817588 1.0
-609.8964322713279 -259.68261321533447 -0.017444 -0.130561 0.3044177 1.0
-395.6695173506753 -174.19269083653998 0.402514 0.119529 0.18072012 1.0
-471.13998640864287 -192.32848398141968 0.072172 -0.283677 0.20234652 1.0
-444.9187800030214 -198.8105022911881 0.052756 -0.583388 0.2239805 1.0
-642.9903345594344 -272.25002281246486 -0.053587 -0.047914 0.35094145 1.0
-609.8315150814169 -261.48232467575593 0.279528 -0.037576 0.3314942 1.0
-494.5957586812164 -212.6966292683021 -0.100957 0.048933 0.2507095 1.0
-565.1197703399845 -238.55766239749346 0.264916 -0.126064 0.27484375 1.0
-557.6583325697394 -250.68828205922784 0.166568 0.087283 0.30317774 1.0
-549.6591102260094 -251.62733868816738 0.10084 -0.10569 0.30696103 1.0
-587.5517597809952 -236.86801988265506 -0.480329 0.324211 0.2723783 1.0
-684.9612680111445 -279.66413685576157 -0.028434 -0.22985 0.35355628 1.0
-602.8848357327306 -259.0382748399263 -0.215935 0.246669 0.3242002 1.0
-552.884381255322 -242.48517258356884 0.376582 0.381904 0.2991547 1.0
-434.36123635273344 -191.2632884725826 0.074143 0.210771 0.2225957 1.0
-639.882500324723 -246.44649488292336 -0.223313 -0.14464 0.29756418 1.0
-586.5905852918021 -215.81335278895267 0.019827 -0.175783 0.26085475 1.0
-733.6128476643576 -261.84794384121307 0.008665 -0.21965 0.35408944 1.0
-394.05656858853996 -185.84526850282282 -0.075658 -0.31431 0.1862538 1.0
-417.18650551060097 -196.86276554007307 -0.201192 0.119969 0.2008955 1.0
-454.18151537722787 -219.24300596970352 -0.179503 -0.023983 0.23234428 1.0
-440.43419907119954 -195.87635932997907 0.21176 -0.102231 0.20091078 1.0
-404.289658759381 -181.22225295586153 0.190968 -0.179031 0.1819167 1.0
-405.8625170014544 -181.86225359196536 -0.021471 0.002153 0.18277897 1.0
-534.5173263207301 -244.2401742416632 -0.273181 -0.481845 0.2734541 1.0
-615.1886369992237 -283.3281046333732 0.125765 -0.189788 0.3361119 1.0
