X Y e1 e2 Z WEIGHT_SEEING
-555.5480532907235 -135.6736223970994 -0.299274 0.171352 0.1912652 1.0
-874.3477222736738 -211.20732724182088 0.011919 -0.235123 0.3573561 1.0
-726.7517803845416 -173.9632330855593 0.271894 0.062755 0.27671164 1.0
-564.4043774109849 -132.97848753968796 0.177977 -0.274686 0.19432247 1.0
-725.2086394744639 -171.20794940632308 0.030436 -0.068429 0.2716116 1.0
-696.3398796587838 -153.8385532519791 0.309391 -0.108621 0.27174577 1.0
-518.0468146751886 -113.71046846671358 -0.121563 0.072146 0.1865425 1.0
-820.0162711463481 -186.50549542759694 0.050377 -0.112741 0.33792874 1.0
-819.341247121525 -219.25404908535978 0.035681 0.343994 0.32726702 1.0
-755.3678392781322 -189.53200929984067 -0.159416 -0.064658 0.3261139 1.0
-744.4508016075458 -191.47876942655373 -0.065545 -0.236986 0.2922813 1.0
-784.163727595389 -197.50530007612346 -0.273295 -0.232581 0.31909326 1.0
-700.913214163646 -171.9522368888215 -0.195366 -0.299799 0.2830598 1.0
-842.4630927974163 -211.9389675394714 0.03974 -0.072253 0.34171513 1.0
-609.6593385671749 -152.87293430704312 -0.182686 0.399412 0.2188176 1.0
-683.5858378059199 -162.27190257652674 -0.254949 0.22504 0.27621764 1.0
-721.6356147940048 -171.60091452552666 -0.465183 0.081865 0.27086502 1.0
-869.9152077649019 -207.16306226239527 0.03192 0.214429 0.35584795 1.0
-582.4360090569074 -153.92210747744468 0.029958 -0.118423 0.20491259 1.0
-744.3684592112762 -192.7279200385486 0.014902 -0.041588 0.29274786 1.0
-755.1386023814066 -192.22784154903707 0.120366 0.028286 0.30574226 1.0
-725.3225563299295 -188.87182599327147 -0.345019 -0.294698 0.27105546 1.0
-721.8360414584412 -185.01843835458857 0.144915 0.137327 0.27106622 1.0
-722.3822226270545 -184.98163044443936 -0.307931 0.36457 0.27138412 1.0
-743.8459086679018 -188.4404353073385 -0.40496 0.08637 0.286414 1.0
-711.4161308687762 -177.115467304733 0.078786 -0.204634 0.27864775 1.0
-793.0699481463913 -193.18433699419302 0.292461 0.020199 0.33330867 1.0
-727.991758294812 -183.50598270756507 -0.133759 0.276888 0.271755 1.0
-711.2546779472352 -176.28450602095484 0.188799 -0.031138 0.2658845 1.0
-675.9030810626746 -165.4107016776679 -0.113047 -0.32932 0.25396103 1.0
-785.6834384146763 -191.43773875610177 -0.110216 -0.552251 0.3159575 1.0
-767.8480980032127 -187.11640501785254 -0.11667 0.311602 0.3082014 1.0
-695.3837999403595 -166.56472709389013 -0.569802 0.169688 0.269867 1.0
-708.1312858676523 -170.57559712268193 -0.08169 0.076921 0.2683922 1.0
-790.3120817600889 -178.90464396791714 -0.04393 -0.037735 0.33818644 1.0
-505.5380607984284 -144.2180234662099 -0.084716 0.255345 0.17393285 1.0
-822.9045311914397 -225.30226152688365 -0.151997 0.337876 0.32798883 1.0
-819.9961622074227 -222.99581148700608 -0.096695 -0.628301 0.32814005 1.0
-686.6453433082523 -186.27975723674263 0.007701 -0.09362 0.25725275 1.0
-702.5403500627864 -200.6745762291222 -0.186674 -0.046991 0.29773378 1.0
-576.9387254338488 -165.044927462881 0.103517 0.277507 0.20606308 1.0
-801.806326691083 -228.2467235282513 -0.13257 0.174616 0.32839963 1.0
-800.8082192381062 -224.84669574971443 0.005225 -0.079853 0.34075534 1.0
-789.7372341328021 -219.50591651237005 -0.177519 -0.072351 0.34451088 1.0
-693.8351544693372 -191.87059789086356 -0.013577 0.031332 0.27097 1.0
-784.2863266463058 -212.10266514166076 -0.011941 0.057113 0.35364857 1.0
-831.0655094862298 -225.87738993564832 -0.070762 -0.190191 0.3390695 1.0
-742.7276428368491 -195.56425000898682 -0.035897 -0.111414 0.31502977 1.0
-584.3619264669826 -170.16380908366554 0.465509 0.385484 0.22689007 1.0
-854.8046688846905 -245.3800211256576 0.177459 -0.267305 0.3540948 1.0
-703.1252487876634 -199.44580850586377 0.462617 -0.068238 0.28160068 1.0
-787.6694134586553 -224.31899705173814 0.214 -0.337061 0.33950344 1.0
-837.946912081728 -235.65518428894285 0.032738 -0.662391 0.34035283 1.0
-706.1821005728826 -197.48456842405795 0.104969 -0.223729 0.26897258 1.0
-693.5370944530715 -194.07471678743826 -0.140935 -0.169724 0.26555693 1.0
-679.50310023661 -190.38142035203123 -0.001837 -0.108984 0.25843126 1.0
-688.6639207570539 -191.85152268170683 -0.069085 0.027571 0.26940605 1.0
-814.3170938780477 -226.7376831307755 -0.202692 0.161999 0.3480956 1.0
-620.4020474151238 -170.72377587965553 -0.259961 0.112664 0.24814467 1.0
-809.4736698842264 -223.6710253828265 0.078595 0.477366 0.32265577 1.0
-845.7364941387052 -232.34672874172372 0.050962 -0.340828 0.34902617 1.0
-704.6885005112578 -192.08790658114432 -0.103369 0.255307 0.26937103 1.0
-736.6895995685351 -201.67736200419938 -0.106833 -0.148259 0.29178986 1.0
-732.2645642788073 -194.8673989535576 0.211562 0.162964 0.31230605 1.0
-785.3629502285778 -209.02924312002702 0.080585 -0.133899 0.3524567 1.0
-809.5271412908129 -216.20104534465608 -0.055982 -0.015773 0.326984 1.0
-829.5338347438881 -216.54213242355738 0.010688 0.007055 0.3539936 1.0
-674.5840602144149 -172.47323310006223 0.030292 0.109098 0.27683967 1.0
-785.0177241376088 -211.7630144174512 -0.05869 0.21413 0.35435703 1.0
-533.8911332439233 -122.42999963081577 0.363649 0.047626 0.18301468 1.0
-826.2668152708088 -199.54565137514132 -0.172878 -0.253883 0.3389103 1.0
-692.1532743475335 -160.77727753533108 0.291399 -0.141878 0.27438095 1.0
-710.9249410188854 -165.3374697832295 0.006616 -0.068621 0.2885071 1.0
-489.5240839047997 -113.10815539408225 0.048574 0.044629 0.17680906 1.0
-723.8551481507927 -167.55853631710974 -0.172566 -0.339252 0.28334665 1.0
-720.3438186519941 -167.10501312944112 -0.21226 0.182973 0.2824728 1.0
-795.7170190115698 -177.26184640925382 0.133243 0.078058 0.33910576 1.0
-779.976001477895 -172.33909204349234 0.010647 0.103242 0.331334 1.0
-608.8759288253001 -140.84400096265304 0.051555 0.258777 0.21621396 1.0
-565.1701830972755 -131.00235177867194 -0.178412 0.306073 0.19660835 1.0
-535.6189480089878 -123.97140708792784 -0.229987 0.156514 0.18552966 1.0
-821.8454850655578 -186.4819826537367 -0.167599 0.213513 0.33375028 1.0
-628.3384672498296 -143.6458993827601 -0.061987 0.049516 0.22995709 1.0
-816.8336075979771 -181.85425392580353 -0.002696 0.016133 0.33853891 1.0
-499.8363319235157 -111.42141460004319 -0.225728 0.115439 0.17610382 1.0
-614.584552060051 -135.4405494176025 0.180963 0.280007 0.23203117 1.0
-767.4453255349459 -177.8185207362551 0.143613 -0.192848 0.30258146 1.0
-827.8793913228446 -191.0360404861957 0.221468 0.433287 0.34210736 1.0
-831.171682814746 -187.3579893079054 0.147592 -0.39816 0.3536894 1.0
-593.3906767840404 -155.26973797720763 -0.247565 -0.257724 0.21826118 1.0
-589.3688053237832 -152.93724621988633 0.411503 -0.29301 0.21897705 1.0
-540.1145292833511 -134.6679422366797 0.383346 -0.188608 0.2052442 1.0
-541.2295263167462 -132.1177589199447 -0.340637 0.014206 0.20339905 1.0
-447.6631085217983 -108.30918223863084 0.090673 -0.423623 0.16109692 1.0
-722.9333306467212 -181.50216201503986 -0.040317 0.044556 0.27592617 1.0
-515.0152276960071 -123.66437766051948 0.41942 -0.208683 0.18877237 1.0
-508.4724231673151 -120.5710372495315 0.063971 0.0049 0.18804254 1.0
-508.9612169293101 -120.65735316555426 0.46066 -0.084799 0.18826208 1.0
-515.3036945481247 -121.12436835530188 0.731935 0.160154 0.19106913 1.0
-625.8093376777387 -148.58239022989503 -0.041461 0.036488 0.23265886 1.0
-509.05500573185503 -116.43565002668247 -0.219898 -0.379667 0.18748708 1.0
-534.4217405839102 -123.4641100139717 -0.028867 0.147693 0.18302403 1.0
-803.5840717225457 -208.60432109301613 0.012844 0.352875 0.32486776 1.0
-543.0039014035691 -135.2293833107622 -0.356738 -0.244975 0.20327264 1.0
-810.7573504741484 -201.85786287137879 -0.241479 0.215482 0.3585483 1.0
-493.8363973267559 -123.47395455252673 -0.320029 0.125976 0.17077452 1.0
-690.0653981886232 -170.986237773264 0.675491 -0.300429 0.26797575 1.0
-510.1019962026507 -123.26610338456116 0.364707 0.030148 0.1885616 1.0
-570.7218726742252 -141.05215397312688 0.199877 -0.165987 0.2015322 1.0
-711.2482739067392 -166.7368777650574 0.089389 -0.201525 0.28894797 1.0
-713.8603466404454 -165.88735929462396 0.165857 0.036186 0.28020933 1.0
-795.098768851776 -218.46809215150455 0.080392 0.090149 0.32606894 1.0
-497.3027364464117 -136.1518549486908 0.118228 0.286967 0.17703915 1.0
-801.0435696204521 -213.35684832505706 -0.256422 0.322048 0.3269171 1.0
-809.5238100522781 -214.69964688291626 -0.253777 0.066064 0.3375999 1.0
-640.5782638167635 -166.48215496704378 -0.055982 0.541835 0.25767156 1.0
-638.0954755651663 -165.50743360485114 -0.051356 -0.144902 0.25657013 1.0
-791.1672457590497 -232.53009586739014 0.069606 -0.165114 0.34009764 1.0
-791.705610489909 -232.9559883359549 0.03555 -0.60307 0.3406036 1.0
-778.9905338540443 -228.1130849815343 -0.233564 -0.172981 0.3386749 1.0
-638.859899479248 -186.00910191998423 -0.400329 -0.160034 0.2609672 1.0
-636.1119488590934 -184.67986583981636 0.262379 -0.68369 0.2614048 1.0
-783.9987117971854 -224.9298151988384 -0.077866 -0.046873 0.33779812 1.0
-677.6339782593129 -193.22867485448364 -0.015705 0.105415 0.2763812 1.0
-636.3273257435447 -180.45246881040578 0.103024 0.154959 0.25609666 1.0
-616.6235759160742 -175.2282973822017 -0.328776 -0.088113 0.24677709 1.0
-676.8640803693087 -191.63323029168203 0.075651 -0.2126 0.29200143 1.0
-817.7621824688877 -231.8279705262583 -0.161552 -0.072024 0.3399215 1.0
-542.4355798064865 -151.00702166519133 -0.070711 0.186263 0.2024075 1.0
-791.3854301094425 -222.39601993955398 -0.421037 -0.007308 0.34134808 1.0
-530.1565516065178 -146.34532508877058 -0.716128 -0.067284 0.20162202 1.0
-683.4930423375354 -188.99137081456848 -0.022799 0.246534 0.29192623 1.0
-809.5637876441695 -222.75724988508586 0.133143 0.193527 0.33900696 1.0
-671.5430912358773 -181.95784199527083 -0.02976 -0.185072 0.26814318 1.0
-464.28078637560145 -126.5097472917573 0.122805 0.22059 0.16750295 1.0
-728.0725134619576 -198.28974073682235 -0.257549 0.151177 0.30334055 1.0
-592.9388094492989 -159.6024941052267 0.251265 0.250862 0.21672808 1.0
-639.8082663697985 -168.93804521878178 0.027737 -0.376661 0.2549004 1.0
-568.7185126940616 -166.83758176183062 -0.404154 -0.066927 0.22824381 1.0
-790.0917198529306 -228.85229967543924 0.310734 -0.057142 0.34032953 1.0
-654.3839334573853 -188.95677356313593 0.292488 0.087098 0.2710209 1.0
-675.2232534129212 -192.98827338504148 0.139442 0.044021 0.28762498 1.0
-768.3228682962563 -218.83504152146568 0.136817 0.265751 0.35410073 1.0
-677.4558901759686 -192.09984768578622 -0.07378 0.247499 0.27569944 1.0
-630.919162494954 -178.59218060491054 0.139894 -0.231735 0.253162 1.0
-726.7620453284886 -200.9679933977828 -0.055084 -0.183011 0.2896794 1.0
-677.7445208917892 -185.64689643305522 -0.380315 0.092942 0.27359042 1.0
-529.2881107341551 -144.28719038346748 -0.046797 -0.004384 0.2001899 1.0
-652.6990255907751 -178.340691359063 0.270374 0.212896 0.26752058 1.0
-467.91344917381457 -126.862696264181 -0.05647 -0.08818 0.174136 1.0
-702.835914143816 -185.26818733140462 -0.124306 -0.024552 0.29771057 1.0
-683.691666081207 -176.75231852280606 0.14368 0.231582 0.28465766 1.0
-683.6320404604294 -178.11393619508348 -0.186717 -0.240077 0.26757994 1.0
-671.7909699463106 -172.0905777803966 -0.139602 0.363274 0.26858672 1.0
-528.529404234181 -134.2854794844894 0.166898 -0.092235 0.19965315 1.0
-670.9062541143023 -194.4564115856837 0.222022 -0.426211 0.28849235 1.0
-778.6558603316893 -208.73613973819403 -0.770889 0.005879 0.35406992 1.0
-652.5074546068287 -164.85927560397081 0.083805 -0.243392 0.26745155 1.0
-579.1070025628804 -174.91775348639382 -0.535018 0.157028 0.22984645 1.0
-774.1515123250915 -228.2447823781335 -0.579191 0.022373 0.33718002 1.0
-542.1653917222909 -160.70061194588183 -0.104052 -0.005798 0.20763993 1.0
-653.1529083444545 -193.90394946179524 -0.004048 0.04243 0.26924115 1.0
-673.466231193771 -200.45087365385845 0.359766 0.633624 0.28090882 1.0
-666.9451601849928 -197.7256637608992 0.085606 0.045756 0.2772374 1.0
-668.030198103256 -198.21031202729958 -0.136661 0.123337 0.28096908 1.0
-681.4865214462712 -196.83889632559266 -0.473883 -0.088562 0.2985426 1.0
-773.9360385816968 -277.6223992846735 -0.205021 -0.275574 0.3380524 1.0
-785.6493123444194 -272.5670012556809 0.6067 0.263662 0.3424165 1.0
-444.81548992781154 -154.56330497954335 -0.145734 -0.343504 0.1627547 1.0
-643.9486556025998 -220.9697684647509 0.183526 -0.21327 0.26300624 1.0
-710.6480909492748 -245.03197559097225 0.380012 -0.21389 0.3132163 1.0
-781.5514267629991 -271.0397787845587 0.027622 0.139702 0.32514682 1.0
-629.3077114722934 -218.3374376053437 -0.36117 0.205285 0.24096741 1.0
-722.1921274393551 -251.90222925153205 -0.085452 0.059746 0.29633826 1.0
-666.0478773211631 -232.67876601119957 0.043533 0.191449 0.26704305 1.0
-675.8980915688112 -230.5984161366079 -0.030001 0.041655 0.26278555 1.0
-766.9960869268424 -263.78365664079354 -0.119193 0.57038 0.32661402 1.0
