X Y e1 e2 Z WEIGHT_SEEING
-243.91056949177408 -341.1962867370469 -999.0 -999.0 0.3491747 1.0
-347.23366650312494 -327.96233525782355 -0.188269 0.180626 0.3337218 1.0
-262.79042940726396 -301.2528020127882 0.334889 0.165605 0.29466185 1.0
-263.67360046080285 -336.2336117799199 -0.070514 0.036902 0.3473192 1.0
-233.82307658626942 -330.4679200463323 -0.41278 -0.183486 0.34050193 1.0
-233.43013664132565 -329.65161475616725 0.314348 -0.113741 0.3398209 1.0
-308.814899803807 -334.71186858948215 0.213416 0.15882 0.35270637 1.0
-249.30489677524432 -330.3329095395526 -0.058803 -0.177855 0.3470943 1.0
-322.0384514640158 -304.3311427070855 0.077724 0.342923 0.3122012 1.0
-315.6422868656206 -303.6859563627495 -0.154046 0.039753 0.31151393 1.0
-278.21603783816636 -280.13854432837854 -0.370703 -0.425942 0.2853939 1.0
-247.27595365088098 -321.62318888437045 -0.8119 -0.141584 0.34919557 1.0
-206.43666783369 -279.1978785597655 -0.108061 0.07508 0.28540313 1.0
-274.9924365896123 -290.1253686841461 -0.536358 -0.247605 0.30688396 1.0
-251.10759985306086 -267.2677308123093 -0.106816 -0.07973 0.27267784 1.0
-196.8313844490796 -228.89308266028323 0.008 0.379269 0.2223947 1.0
-268.5151925862979 -317.0090860747782 0.030438 -0.06783 0.350965 1.0
-240.19829022357288 -301.03234249776517 -0.49115 0.169944 0.3256925 1.0
-245.60939959231112 -318.60541140091 0.285684 0.048244 0.35279894 1.0
-196.47313710864105 -260.8923447899988 0.676169 -0.179231 0.26482695 1.0
-229.5845798863834 -309.09619676252777 -0.281995 0.090118 0.33929765 1.0
-348.606158741217 -312.3558170173845 0.341743 0.072032 0.34294343 1.0
-305.9398913468541 -299.6657564428819 -0.334744 -0.173583 0.324269 1.0
-248.65924750955367 -252.71245291974117 -0.032932 -0.498832 0.2548638 1.0
-237.0285174734668 -241.91421913751634 0.227172 -0.01645 0.24004342 1.0
-268.18855109829997 -313.003271669311 0.571084 -0.168942 0.34973857 1.0
-246.77256396694006 -316.41635873595266 -999.0 -999.0 0.3541916 1.0
-312.3017304011827 -292.53697800112246 -0.224392 0.201305 0.3211693 1.0
-315.57806497756644 -312.7861924234039 0.111278 0.0152 0.35549015 1.0
-283.9298685140237 -288.5048656897187 0.56775 0.334766 0.3152878 1.0
-310.2681463353005 -314.25144619306707 -999.0 -999.0 0.3581012 1.0
-244.22840258640525 -302.7514105581773 0.350782 -0.200177 0.34100813 1.0
-223.67412481986116 -278.80882976266594 -0.082704 -0.254029 0.3021253 1.0
-225.43329219170275 -282.4597165377551 -0.124719 -0.392201 0.3062608 1.0
-359.6216654230102 -304.3770074049769 0.1399 0.135774 0.34733814 1.0
-292.0985932937642 -255.3542042620935 -0.237532 -0.314817 0.26994693 1.0
-302.1111444910488 -266.06016851092375 0.281915 0.440933 0.28544426 1.0
-331.8316722078459 -293.99933374994714 -0.000983 -0.291617 0.33133343 1.0
-301.830400384875 -282.0891793188558 0.289892 -0.080039 0.3110885 1.0
-306.42388331324696 -292.76454339722875 0.409199 -0.183741 0.33042008 1.0
-257.80801280477334 -299.43999580663706 -0.01342 -0.345627 0.34180704 1.0
-207.06722274159327 -241.44179341794515 -0.135295 -0.282108 0.2528615 1.0
-201.00389166791874 -234.94672411849845 -0.294784 -0.055551 0.24374448 1.0
-243.10683802469956 -286.10593466807074 -0.130677 0.203136 0.32045847 1.0
-258.26526412704715 -306.45695565336797 -0.399067 0.323472 0.35788423 1.0
-236.5181133788294 -290.4762267585949 0.10307 -0.28664 0.32896346 1.0
-343.3850114976699 -295.2937669500008 -0.096979 -0.335209 0.33785018 1.0
-313.884385960102 -271.31629121297493 -0.136921 0.073388 0.30172175 1.0
-299.33464085647887 -280.7158127422095 0.279408 -0.178632 0.31753957 1.0
-246.1748083477157 -281.6742544585757 -0.019046 -0.162566 0.32243672 1.0
-305.3430477327525 -251.40723996279132 -0.064488 -0.124988 0.27479774 1.0
-306.8095084311243 -281.94978433278925 0.101419 -0.307336 0.32935646 1.0
-267.79744372915036 -271.5325288353037 0.22937 -0.034795 0.3096261 1.0
-250.58972268071824 -255.9362152529377 0.23135 0.1294 0.28515965 1.0
-345.7089058712332 -308.594421845569 -999.0 -999.0 0.33946082 1.0
-276.6005351815659 -261.060318969 -0.268438 0.385857 0.26791877 1.0
-270.9475560314324 -259.9814678577361 -999.0 -999.0 0.26660636 1.0
-267.08264347124367 -264.49715054633424 0.031017 -0.040314 0.27329868 1.0
-327.4036501492111 -294.65571983726977 0.273888 -0.299243 0.3263179 1.0
-257.815952368923 -263.70238097468797 0.123791 0.291441 0.28038713 1.0
-245.26946421343442 -300.3091457999511 -0.398212 -0.134743 0.34005088 1.0
-247.39504611474595 -212.19448070762144 -0.163177 0.156733 0.21121179 1.0
-280.24765103965916 -260.77362619706776 -999.0 -999.0 0.28050277 1.0
-326.11261493856136 -305.29747287331014 -999.0 -999.0 0.35659635 1.0
-308.4537964502857 -291.2246229375577 -0.054755 -0.158864 0.33078507 1.0
-252.21826196643255 -258.15708002159624 0.016892 -0.055205 0.27842906 1.0
