0.5 0.5 0.5 -0.150898 -0.167127
0.591034 0.591034 0.591034 0.0369781 -0.263492
0.698643 0.698643 0.698643 0.118538 -0.288022
0.825844 0.825844 0.825844 0.0388986 -0.249701
0.976204 0.976204 0.976204 -0.135726 -0.175062
1.15394 1.15394 1.15394 -0.240808 -0.0926264
1.36404 1.36404 1.36404 -0.206922 -0.0540791
1.61239 1.61239 1.61239 -0.0836201 -0.105345
1.90595 1.90595 1.90595 0.0375609 -0.190088
2.25296 2.25296 2.25296 0.0837629 -0.210806
2.66316 2.66316 2.66316 0.0480112 -0.150507
3.14804 3.14804 3.14804 -0.0194949 -0.0524907
3.72119 3.72119 3.72119 -0.0833093 0.0338645
4.39871 4.39871 4.39871 -0.129733 0.0898759
5.19957 5.19957 5.19957 -0.142475 0.114234
6.14625 6.14625 6.14625 -0.115616 0.102121
7.26529 7.26529 7.26529 -0.067213 0.0653754
8.58808 8.58808 8.58808 -0.0218738 0.0280574
10.1517 10.1517 10.1517 0.00647448 0.00572333
12 12 12 0.0156196 0.00288526
