0.5 0.5 0.5 -0.238418 0.132187
0.591034 0.591034 0.591034 -0.0058386 0.106663
0.698643 0.698643 0.698643 0.115811 0.0880283
0.825844 0.825844 0.825844 0.12755 0.0512814
0.976204 0.976204 0.976204 0.125081 -0.0191441
1.15394 1.15394 1.15394 0.0996109 -0.068282
1.36404 1.36404 1.36404 0.0621608 -0.0400934
1.61239 1.61239 1.61239 0.0571744 0.0464871
1.90595 1.90595 1.90595 0.0874773 0.161626
2.25296 2.25296 2.25296 0.149311 0.27527
2.66316 2.66316 2.66316 0.203663 0.335909
3.14804 3.14804 3.14804 0.214692 0.294461
3.72119 3.72119 3.72119 0.19961 0.173445
4.39871 4.39871 4.39871 0.174039 0.0506322
5.19957 5.19957 5.19957 0.13663 -0.0223691
6.14625 6.14625 6.14625 0.0947427 -0.048353
7.26529 7.26529 7.26529 0.0609825 -0.0581286
8.58808 8.58808 8.58808 0.0372397 -0.0685129
10.1517 10.1517 10.1517 0.0151873 -0.0694583
12 12 12 -0.00261697 -0.0521523
