0.5 0.5 0.5 -0.231401 -0.413756
0.591034 0.591034 0.591034 0.457667 0.0465589
0.698643 0.698643 0.698643 0.75672 0.325805
0.825844 0.825844 0.825844 0.714259 0.250611
0.976204 0.976204 0.976204 0.531392 0.0885789
1.15394 1.15394 1.15394 0.338897 0.0181519
1.36404 1.36404 1.36404 0.188542 0.0165306
1.61239 1.61239 1.61239 0.09376 0.0167
1.90595 1.90595 1.90595 0.0462827 0.00228846
2.25296 2.25296 2.25296 0.0258359 -0.0142491
2.66316 2.66316 2.66316 0.0127748 -0.0247104
3.14804 3.14804 3.14804 0.000271918 -0.0263507
3.72119 3.72119 3.72119 -0.00958267 -0.0208727
4.39871 4.39871 4.39871 -0.0146528 -0.0131452
5.19957 5.19957 5.19957 -0.0156197 -0.00731455
6.14625 6.14625 6.14625 -0.014108 -0.00457486
7.26529 7.26529 7.26529 -0.0113291 -0.00414242
8.58808 8.58808 8.58808 -0.00831699 -0.00453779
10.1517 10.1517 10.1517 -0.0055549 -0.00475207
12 12 12 -0.00335834 -0.00462857
